id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2
202,2011,Delhi,28-04-2011,KKR,DD,DD,field,normal,0,KKR,17,0,MK Tiwary,Feroz Shah Kotla,PR Reiffel,RJ Tucker
203,2011,Jaipur,29-04-2011,MI,RR,RR,field,normal,0,RR,0,7,J Botha,Sawai Mansingh Stadium,Asad Rauf,SK Tarapore
204,2011,Bangalore,29-04-2011,RCB,PW,PW,field,normal,0,RCB,26,0,V Kohli,M Chinnaswamy Stadium,Aleem Dar,SS Hazare
205,2011,Kolkata,30-04-2011,KXIP,KKR,KKR,field,normal,0,KKR,0,8,Iqbal Abdulla,Eden Gardens,AM Saheba,SL Shastri
206,2011,Jaipur,01-05-2011,PW,RR,RR,field,normal,0,RR,0,6,LRPSL Taylor,Sawai Mansingh Stadium,SK Tarapore,SJA Taufel
207,2011,Chennai,01-05-2011,CSK,DC,CSK,bat,normal,0,CSK,19,0,JA Morkel,"MA Chidambaram Stadium, Chepauk",Aleem Dar,RB Tiffin
208,2011,Mumbai,02-05-2011,MI,KXIP,KXIP,field,normal,0,MI,23,0,KA Pollard,Wankhede Stadium,HDPK Dharmasena,PR Reiffel
209,2011,Hyderabad,03-05-2011,KKR,DC,DC,field,normal,0,KKR,20,0,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",S Asnani,RJ Tucker
210,2011,Chennai,04-05-2011,RR,CSK,RR,bat,normal,0,CSK,0,8,MEK Hussey,"MA Chidambaram Stadium, Chepauk",SS Hazare,RB Tiffin
211,2011,Mumbai,04-05-2011,MI,PW,PW,field,normal,0,MI,21,0,R Sharma,Dr DY Patil Sports Academy,HDPK Dharmasena,SJA Taufel
212,2011,Hyderabad,05-05-2011,DC,DD,DD,field,normal,0,DD,0,4,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,AM Saheba
213,2011,Bangalore,06-05-2011,RCB,KXIP,KXIP,field,normal,0,RCB,85,0,CH Gayle,M Chinnaswamy Stadium,Aleem Dar,RB Tiffin
214,2011,Kolkata,07-05-2011,CSK,KKR,CSK,bat,normal,1,KKR,10,0,Iqbal Abdulla,Eden Gardens,Asad Rauf,PR Reiffel
215,2011,Mumbai,07-05-2011,MI,DD,DD,field,normal,0,MI,32,0,AT Rayudu,Wankhede Stadium,K Hariharan,SJA Taufel
216,2011,Chandigarh,08-05-2011,KXIP,PW,KXIP,bat,normal,0,PW,0,5,R Sharma,"Punjab Cricket Association Stadium, Mohali",SK Tarapore,RJ Tucker
217,2011,Jaipur,09-05-2011,CSK,RR,RR,field,normal,0,CSK,63,0,M Vijay,Sawai Mansingh Stadium,K Hariharan,SJA Taufel
218,2011,Hyderabad,10-05-2011,DC,PW,DC,bat,normal,0,PW,0,6,MR Marsh,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,AM Saheba
219,2011,Chandigarh,10-05-2011,KXIP,MI,MI,field,normal,0,KXIP,76,0,BA Bhatt,"Punjab Cricket Association Stadium, Mohali",SK Tarapore,RJ Tucker
220,2011,Jaipur,11-05-2011,RR,RCB,RCB,field,normal,0,RCB,0,9,S Aravind,Sawai Mansingh Stadium,HDPK Dharmasena,K Hariharan
221,2011,Chennai,12-05-2011,CSK,DD,CSK,bat,normal,0,CSK,18,0,MS Dhoni,"MA Chidambaram Stadium, Chepauk",AM Saheba,SL Shastri
222,2011,Bangalore,14-05-2011,KKR,RCB,RCB,field,normal,1,RCB,0,4,CH Gayle,M Chinnaswamy Stadium,RE Koertzen,RB Tiffin
223,2011,Mumbai,14-05-2011,DC,MI,DC,bat,normal,0,DC,10,0,A Mishra,Wankhede Stadium,S Ravi,SK Tarapore
224,2011,Dharamsala,15-05-2011,KXIP,DD,DD,field,normal,0,KXIP,29,0,PP Chawla,Himachal Pradesh Cricket Association Stadium,Asad Rauf,SL Shastri
225,2011,Mumbai,16-05-2011,PW,DC,DC,field,normal,0,DC,0,6,A Mishra,Dr DY Patil Sports Academy,S Ravi,SK Tarapore
226,2011,Dharamsala,17-05-2011,KXIP,RCB,KXIP,bat,normal,0,KXIP,111,0,AC Gilchrist,Himachal Pradesh Cricket Association Stadium,Asad Rauf,AM Saheba
227,2011,Mumbai,19-05-2011,PW,KKR,KKR,field,normal,0,KKR,0,7,YK Pathan,Dr DY Patil Sports Academy,S Ravi,SJA Taufel
228,2011,Mumbai,20-05-2011,MI,RR,MI,bat,normal,0,RR,0,10,SR Watson,Wankhede Stadium,RE Koertzen,PR Reiffel
229,2011,Dharamsala,21-05-2011,DC,KXIP,KXIP,field,normal,0,DC,82,0,S Dhawan,Himachal Pradesh Cricket Association Stadium,Asad Rauf,AM Saheba
230,2011,Delhi,21-05-2011,DD,PW,DD,bat,no result,0,,0,0,,Feroz Shah Kotla,SS Hazare,RJ Tucker
231,2011,Bangalore,22-05-2011,CSK,RCB,RCB,field,normal,0,RCB,0,8,CH Gayle,M Chinnaswamy Stadium,K Hariharan,RE Koertzen
232,2011,Kolkata,22-05-2011,KKR,MI,MI,field,normal,0,MI,0,5,JEC Franklin,Eden Gardens,SK Tarapore,SJA Taufel
233,2011,Mumbai,24-05-2011,RCB,CSK,CSK,field,normal,0,CSK,0,6,SK Raina,Wankhede Stadium,Asad Rauf,SJA Taufel
234,2011,Mumbai,25-05-2011,KKR,MI,MI,field,normal,0,MI,0,4,MM Patel,Wankhede Stadium,Asad Rauf,SJA Taufel
235,2011,Chennai,27-05-2011,RCB,MI,MI,field,normal,0,RCB,43,0,CH Gayle,"MA Chidambaram Stadium, Chepauk",Asad Rauf,SJA Taufel
236,2011,Chennai,28-05-2011,CSK,RCB,CSK,bat,normal,0,CSK,58,0,M Vijay,"MA Chidambaram Stadium, Chepauk",Asad Rauf,SJA Taufel
237,2012,Chennai,04-04-2012,CSK,MI,MI,field,normal,0,MI,0,8,RE Levi,"MA Chidambaram Stadium, Chepauk",JD Cloete,SJA Taufel
238,2012,Kolkata,05-04-2012,KKR,DD,DD,field,normal,0,DD,0,8,IK Pathan,Eden Gardens,S Asnani,HDPK Dharmasena
239,2012,Mumbai,06-04-2012,PW,MI,MI,field,normal,0,PW,28,0,SPD Smith,Wankhede Stadium,AK Chaudhary,SJA Taufel
240,2012,Jaipur,06-04-2012,RR,KXIP,KXIP,field,normal,0,RR,31,0,AM Rahane,Sawai Mansingh Stadium,BF Bowden,SK Tarapore
241,2012,Bangalore,07-04-2012,RCB,DD,DD,field,normal,0,RCB,20,0,AB de Villiers,M Chinnaswamy Stadium,S Asnani,S Ravi
242,2012,Visakhapatnam,07-04-2012,CSK,DC,DC,field,normal,0,CSK,74,0,RA Jadeja,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,JD Cloete,HDPK Dharmasena
243,2012,Jaipur,08-04-2012,RR,KKR,KKR,field,normal,0,RR,22,0,BJ Hodge,Sawai Mansingh Stadium,BF Bowden,VA Kulkarni
244,2012,Pune,08-04-2012,PW,KXIP,PW,bat,normal,0,PW,22,0,MN Samuels,Subrata Roy Sahara Stadium,S Das,SJA Taufel
245,2012,Visakhapatnam,09-04-2012,DC,MI,DC,bat,normal,0,MI,0,5,RG Sharma,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,AK Chaudhary,JD Cloete
246,2012,Bangalore,10-04-2012,KKR,RCB,RCB,field,normal,0,KKR,42,0,L Balaji,M Chinnaswamy Stadium,S Ravi,RJ Tucker
247,2012,Delhi,10-04-2012,CSK,DD,DD,field,normal,0,DD,0,8,M Morkel,Feroz Shah Kotla,Asad Rauf,SK Tarapore
248,2012,Mumbai,11-04-2012,MI,RR,RR,field,normal,0,MI,27,0,KA Pollard,Wankhede Stadium,Aleem Dar,BNJ Oxenford
249,2012,Chennai,12-04-2012,RCB,CSK,RCB,bat,normal,0,CSK,0,5,F du Plessis,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena,RJ Tucker
250,2012,Chandigarh,12-04-2012,PW,KXIP,KXIP,field,normal,0,KXIP,0,7,AD Mascarenhas,"Punjab Cricket Association Stadium, Mohali",VA Kulkarni,SK Tarapore
251,2012,Kolkata,13-04-2012,RR,KKR,RR,bat,normal,0,KKR,0,5,Shakib Al Hasan,Eden Gardens,Asad Rauf,S Asnani
252,2012,Delhi,19-04-2012,DC,DD,DC,bat,normal,0,DD,0,5,KP Pietersen,Feroz Shah Kotla,BF Bowden,SK Tarapore
253,2012,Pune,14-04-2012,CSK,PW,CSK,bat,normal,0,PW,0,7,JD Ryder,Subrata Roy Sahara Stadium,Aleem Dar,BNJ Oxenford
254,2012,Kolkata,15-04-2012,KXIP,KKR,KKR,field,normal,0,KXIP,2,0,SP Narine,Eden Gardens,Asad Rauf,S Asnani
255,2012,Bangalore,15-04-2012,RR,RCB,RR,bat,normal,0,RR,59,0,AM Rahane,M Chinnaswamy Stadium,JD Cloete,RJ Tucker
