id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2
329,2013,Chandigarh,16-04-2013,KXIP,KKR,KKR,field,normal,0,KXIP,4,0,MS Gony,"Punjab Cricket Association Stadium, Mohali",CK Nandan,SJA Taufel
330,2013,Bangalore,16-04-2013,DD,RCB,RCB,field,tie,0,RCB,0,0,V Kohli,M Chinnaswamy Stadium,M Erasmus,VA Kulkarni
331,2013,Pune,17-04-2013,SRH,PW,PW,field,normal,0,SRH,11,0,A Mishra,Subrata Roy Sahara Stadium,Asad Rauf,AK Chaudhary
332,2013,Jaipur,17-04-2013,RR,MI,RR,bat,normal,0,RR,87,0,AM Rahane,Sawai Mansingh Stadium,Aleem Dar,C Shamshuddin
333,2013,Delhi,18-04-2013,CSK,DD,CSK,bat,normal,0,CSK,86,0,MEK Hussey,Feroz Shah Kotla,M Erasmus,VA Kulkarni
334,2013,Hyderabad,19-04-2013,KXIP,SRH,KXIP,bat,normal,0,SRH,0,5,GH Vihari,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena,CK Nandan
335,2013,Kolkata,20-04-2013,KKR,CSK,KKR,bat,normal,0,CSK,0,4,RA Jadeja,Eden Gardens,Asad Rauf,AK Chaudhary
336,2013,Bangalore,20-04-2013,RR,RCB,RCB,field,normal,0,RCB,0,7,R Vinay Kumar,M Chinnaswamy Stadium,Aleem Dar,C Shamshuddin
337,2013,Delhi,21-04-2013,MI,DD,MI,bat,normal,0,DD,0,9,V Sehwag,Feroz Shah Kotla,HDPK Dharmasena,S Ravi
338,2013,Chandigarh,21-04-2013,PW,KXIP,KXIP,field,normal,0,KXIP,0,7,DA Miller,"Punjab Cricket Association Stadium, Mohali",M Erasmus,K Srinath
339,2013,Chennai,22-04-2013,RR,CSK,RR,bat,normal,0,CSK,0,5,MEK Hussey,"MA Chidambaram Stadium, Chepauk",S Asnani,AK Chaudhary
340,2013,Bangalore,23-04-2013,RCB,PW,PW,field,normal,0,RCB,130,0,CH Gayle,M Chinnaswamy Stadium,Aleem Dar,C Shamshuddin
341,2013,Dharamsala,16-05-2013,KXIP,DD,DD,field,normal,0,KXIP,7,0,DA Miller,Himachal Pradesh Cricket Association Stadium,HDPK Dharmasena,S Ravi
342,2013,Kolkata,24-04-2013,KKR,MI,KKR,bat,normal,0,MI,0,5,DR Smith,Eden Gardens,HDPK Dharmasena,S Ravi
343,2013,Chennai,25-04-2013,SRH,CSK,SRH,bat,normal,0,CSK,0,5,MS Dhoni,"MA Chidambaram Stadium, Chepauk",Aleem Dar,S Das
344,2013,Kolkata,26-04-2013,KXIP,KKR,KXIP,bat,normal,0,KKR,0,6,JH Kallis,Eden Gardens,CK Nandan,S Ravi
345,2013,Jaipur,27-04-2013,SRH,RR,SRH,bat,normal,0,RR,0,8,JP Faulkner,Sawai Mansingh Stadium,VA Kulkarni,K Srinath
346,2013,Mumbai,27-04-2013,MI,RCB,MI,bat,normal,0,MI,58,0,DR Smith,Wankhede Stadium,Asad Rauf,S Asnani
347,2013,Chennai,28-04-2013,CSK,KKR,KKR,field,normal,0,CSK,14,0,MEK Hussey,"MA Chidambaram Stadium, Chepauk",Aleem Dar,SJA Taufel
348,2013,Raipur,28-04-2013,DD,PW,PW,field,normal,0,DD,15,0,DA Warner,Shaheed Veer Narayan Singh International Stadium,CK Nandan,S Ravi
349,2013,Jaipur,29-04-2013,RCB,RR,RR,field,normal,0,RR,0,4,SV Samson,Sawai Mansingh Stadium,M Erasmus,K Srinath
350,2013,Mumbai,29-04-2013,MI,KXIP,MI,bat,normal,0,MI,4,0,RG Sharma,Wankhede Stadium,Asad Rauf,AK Chaudhary
351,2013,Pune,30-04-2013,CSK,PW,CSK,bat,normal,0,CSK,37,0,MS Dhoni,Subrata Roy Sahara Stadium,S Das,SJA Taufel
352,2013,Hyderabad,01-05-2013,MI,SRH,MI,bat,normal,0,SRH,0,7,I Sharma,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,S Asnani
353,2013,Raipur,01-05-2013,KKR,DD,KKR,bat,normal,0,DD,0,7,DA Warner,Shaheed Veer Narayan Singh International Stadium,HDPK Dharmasena,CK Nandan
354,2013,Chennai,02-05-2013,CSK,KXIP,CSK,bat,normal,0,CSK,15,0,SK Raina,"MA Chidambaram Stadium, Chepauk",M Erasmus,VA Kulkarni
355,2013,Pune,02-05-2013,RCB,PW,RCB,bat,normal,0,RCB,17,0,AB de Villiers,Subrata Roy Sahara Stadium,Aleem Dar,C Shamshuddin
356,2013,Kolkata,03-05-2013,RR,KKR,RR,bat,normal,0,KKR,0,8,YK Pathan,Eden Gardens,HDPK Dharmasena,CK Nandan
357,2013,Hyderabad,04-05-2013,DD,SRH,DD,bat,normal,0,SRH,0,6,DJG Sammy,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,S Asnani
358,2013,Bangalore,14-05-2013,RCB,KXIP,KXIP,field,normal,0,KXIP,0,7,AC Gilchrist,M Chinnaswamy Stadium,HDPK Dharmasena,S Ravi
359,2013,Mumbai,05-05-2013,MI,CSK,MI,bat,normal,0,MI,60,0,MG Johnson,Wankhede Stadium,HDPK Dharmasena,CK Nandan
360,2013,Jaipur,05-05-2013,PW,RR,PW,bat,normal,0,RR,0,5,AM Rahane,Sawai Mansingh Stadium,C Shamshuddin,RJ Tucker
361,2013,Bangalore,09-04-2013,SRH,RCB,SRH,bat,normal,0,RCB,0,7,V Kohli,M Chinnaswamy Stadium,S Ravi,SJA Taufel
362,2013,Jaipur,07-05-2013,DD,RR,DD,bat,normal,0,RR,0,9,AM Rahane,Sawai Mansingh Stadium,Aleem Dar,RJ Tucker
363,2013,Mumbai,07-05-2013,MI,KKR,MI,bat,normal,0,MI,65,0,SR Tendulkar,Wankhede Stadium,HDPK Dharmasena,S Ravi
364,2013,Hyderabad,08-05-2013,CSK,SRH,SRH,field,normal,0,CSK,77,0,SK Raina,"Rajiv Gandhi International Stadium, Uppal",S Das,NJ Llong
365,2013,Chandigarh,09-05-2013,KXIP,RR,RR,field,normal,0,RR,0,8,KK Cooper,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,S Ravi
366,2013,Pune,09-05-2013,KKR,PW,KKR,bat,normal,0,KKR,46,0,G Gambhir,Subrata Roy Sahara Stadium,Asad Rauf,S Asnani
367,2013,Delhi,10-05-2013,RCB,DD,DD,field,normal,0,RCB,4,0,JD Unadkat,Feroz Shah Kotla,NJ Llong,K Srinath
368,2013,Pune,11-05-2013,PW,MI,PW,bat,normal,0,MI,0,5,MG Johnson,Subrata Roy Sahara Stadium,Asad Rauf,AK Chaudhary
369,2013,Chandigarh,11-05-2013,SRH,KXIP,KXIP,field,normal,0,SRH,30,0,PA Patel,"Punjab Cricket Association Stadium, Mohali",S Das,RJ Tucker
370,2013,Ranchi,12-05-2013,RCB,KKR,KKR,field,normal,0,KKR,0,5,JH Kallis,JSCA International Stadium Complex,NJ Llong,K Srinath
371,2013,Jaipur,12-05-2013,CSK,RR,RR,field,normal,0,RR,0,5,SR Watson,Sawai Mansingh Stadium,HDPK Dharmasena,CK Nandan
372,2013,Delhi,23-04-2013,DD,KXIP,KXIP,field,normal,0,KXIP,0,5,Harmeet Singh,Feroz Shah Kotla,VA Kulkarni,K Srinath
373,2013,Mumbai,13-05-2013,SRH,MI,SRH,bat,normal,0,MI,0,7,KA Pollard,Wankhede Stadium,AK Chaudhary,SJA Taufel
374,2013,Ranchi,15-05-2013,PW,KKR,KKR,field,normal,0,PW,7,0,MK Pandey,JSCA International Stadium Complex,NJ Llong,K Srinath
375,2013,Chennai,14-05-2013,CSK,DD,CSK,bat,normal,0,CSK,33,0,MS Dhoni,"MA Chidambaram Stadium, Chepauk",C Shamshuddin,RJ Tucker
376,2013,Mumbai,15-05-2013,MI,RR,RR,field,normal,0,MI,14,0,AP Tare,Wankhede Stadium,Asad Rauf,S Asnani
377,2013,Chandigarh,06-05-2013,RCB,KXIP,KXIP,field,normal,0,KXIP,0,6,DA Miller,"Punjab Cricket Association Stadium, Mohali",VA Kulkarni,NJ Llong
378,2013,Hyderabad,17-05-2013,SRH,RR,SRH,bat,normal,0,SRH,23,0,A Mishra,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,AK Chaudhary
379,2013,Dharamsala,18-05-2013,KXIP,MI,MI,field,normal,0,KXIP,50,0,Azhar Mahmood,Himachal Pradesh Cricket Association Stadium,HDPK Dharmasena,CK Nandan
380,2013,Pune,19-05-2013,PW,DD,PW,bat,normal,0,PW,38,0,LJ Wright,Subrata Roy Sahara Stadium,NJ Llong,SJA Taufel
381,2013,Bangalore,18-05-2013,RCB,CSK,CSK,field,normal,0,RCB,24,0,V Kohli,M Chinnaswamy Stadium,C Shamshuddin,RJ Tucker
382,2013,Hyderabad,19-05-2013,KKR,SRH,KKR,bat,normal,0,SRH,0,5,PA Patel,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,S Asnani
383,2013,Delhi,21-05-2013,CSK,MI,CSK,bat,normal,0,CSK,48,0,MEK Hussey,Feroz Shah Kotla,NJ Llong,RJ Tucker
384,2013,Delhi,22-05-2013,SRH,RR,SRH,bat,normal,0,RR,0,4,BJ Hodge,Feroz Shah Kotla,S Ravi,RJ Tucker
385,2013,Kolkata,24-05-2013,RR,MI,RR,bat,normal,0,MI,0,4,Harbhajan Singh,Eden Gardens,C Shamshuddin,SJA Taufel
386,2013,Kolkata,26-05-2013,MI,CSK,MI,bat,normal,0,MI,23,0,KA Pollard,Eden Gardens,HDPK Dharmasena,SJA Taufel
387,2014,Abu Dhabi,16-04-2014,KKR,MI,KKR,bat,normal,0,KKR,41,0,JH Kallis,Sheikh Zayed Stadium,M Erasmus,RK Illingworth
388,2014,Sharjah,17-04-2014,DD,RCB,RCB,field,normal,0,RCB,0,8,YS Chahal,Sharjah Cricket Stadium,Aleem Dar,S Ravi
389,2014,Abu Dhabi,18-04-2014,CSK,KXIP,CSK,bat,normal,0,KXIP,0,6,GJ Maxwell,Sheikh Zayed Stadium,RK Illingworth,C Shamshuddin
390,2014,Abu Dhabi,18-04-2014,SRH,RR,RR,field,normal,0,RR,0,4,AM Rahane,Sheikh Zayed Stadium,BF Bowden,RK Illingworth
391,2014,,19-04-2014,MI,RCB,RCB,field,normal,0,RCB,0,7,PA Patel,Dubai International Cricket Stadium,Aleem Dar,AK Chaudhary
392,2014,,19-04-2014,KKR,DD,KKR,bat,normal,0,DD,0,4,JP Duminy,Dubai International Cricket Stadium,Aleem Dar,VA Kulkarni
393,2014,Sharjah,20-04-2014,RR,KXIP,KXIP,field,normal,0,KXIP,0,7,GJ Maxwell,Sharjah Cricket Stadium,BF Bowden,M Erasmus
394,2014,Abu Dhabi,21-04-2014,CSK,DD,CSK,bat,normal,0,CSK,93,0,SK Raina,Sheikh Zayed Stadium,RK Illingworth,C Shamshuddin
395,2014,Sharjah,22-04-2014,KXIP,SRH,SRH,field,normal,0,KXIP,72,0,GJ Maxwell,Sharjah Cricket Stadium,M Erasmus,S Ravi
396,2014,,23-04-2014,CSK,RR,RR,field,normal,0,CSK,7,0,RA Jadeja,Dubai International Cricket Stadium,HDPK Dharmasena,RK Illingworth
397,2014,Sharjah,24-04-2014,KKR,RCB,RCB,field,normal,0,KKR,2,0,CA Lynn,Sharjah Cricket Stadium,Aleem Dar,VA Kulkarni
398,2014,,25-04-2014,SRH,DD,SRH,bat,normal,0,SRH,4,0,AJ Finch,Dubai International Cricket Stadium,M Erasmus,S Ravi
399,2014,,25-04-2014,MI,CSK,MI,bat,normal,0,CSK,0,7,MM Sharma,Dubai International Cricket Stadium,BF Bowden,M Erasmus
400,2014,Abu Dhabi,26-04-2014,RCB,RR,RR,field,normal,0,RR,0,6,PV Tambe,Sheikh Zayed Stadium,HDPK Dharmasena,C Shamshuddin
401,2014,Abu Dhabi,26-04-2014,KXIP,KKR,KKR,field,normal,0,KXIP,23,0,Sandeep Sharma,Sheikh Zayed Stadium,HDPK Dharmasena,RK Illingworth
402,2014,Sharjah,27-04-2014,MI,DD,MI,bat,normal,0,DD,0,6,M Vijay,Sharjah Cricket Stadium,Aleem Dar,VA Kulkarni
403,2014,Sharjah,27-04-2014,SRH,CSK,SRH,bat,normal,0,CSK,0,5,DR Smith,Sharjah Cricket Stadium,AK Chaudhary,VA Kulkarni
404,2014,,28-04-2014,RCB,KXIP,KXIP,field,normal,0,KXIP,0,5,Sandeep Sharma,Dubai International Cricket Stadium,BF Bowden,S Ravi
405,2014,Abu Dhabi,29-04-2014,RR,KKR,RR,bat,tie,0,RR,0,0,JP Faulkner,Sheikh Zayed Stadium,Aleem Dar,AK Chaudhary
406,2014,,30-04-2014,SRH,MI,MI,field,normal,0,SRH,15,0,B Kumar,Dubai International Cricket Stadium,HDPK Dharmasena,M Erasmus
407,2014,Ranchi,02-05-2014,CSK,KKR,CSK,bat,normal,0,CSK,34,0,RA Jadeja,JSCA International Stadium Complex,AK Chaudhary,NJ Llong
408,2014,Mumbai,03-05-2014,KXIP,MI,KXIP,bat,normal,0,MI,0,5,CJ Anderson,Wankhede Stadium,BNJ Oxenford,C Shamshuddin
409,2014,Delhi,03-05-2014,DD,RR,RR,field,normal,0,RR,0,7,KK Nair,Feroz Shah Kotla,SS Hazare,S Ravi
410,2014,Bangalore,04-05-2014,SRH,RCB,RCB,field,normal,0,RCB,0,4,AB de Villiers,M Chinnaswamy Stadium,HDPK Dharmasena,VA Kulkarni
411,2014,Ahmedabad,05-05-2014,RR,KKR,KKR,field,normal,0,RR,10,0,PV Tambe,"Sardar Patel Stadium, Motera",NJ Llong,CK Nandan
412,2014,Delhi,05-05-2014,DD,CSK,CSK,field,normal,0,CSK,0,8,DR Smith,Feroz Shah Kotla,RM Deshpande,BNJ Oxenford
413,2014,Mumbai,06-05-2014,MI,RCB,RCB,field,normal,0,MI,19,0,RG Sharma,Wankhede Stadium,S Ravi,K Srinath
414,2014,Delhi,07-05-2014,DD,KKR,DD,bat,normal,0,KKR,0,8,G Gambhir,Feroz Shah Kotla,BNJ Oxenford,C Shamshuddin
415,2014,Cuttack,07-05-2014,KXIP,CSK,CSK,field,normal,0,KXIP,44,0,GJ Maxwell,Barabati Stadium,HDPK Dharmasena,PG Pathak
416,2014,Ahmedabad,08-05-2014,SRH,RR,RR,field,normal,0,SRH,32,0,B Kumar,"Sardar Patel Stadium, Motera",AK Chaudhary,NJ Llong
417,2014,Bangalore,09-05-2014,KXIP,RCB,RCB,field,normal,0,KXIP,32,0,Sandeep Sharma,M Chinnaswamy Stadium,S Ravi,K Srinath
418,2014,Delhi,10-05-2014,DD,SRH,SRH,field,normal,1,SRH,0,8,DW Steyn,Feroz Shah Kotla,RM Deshpande,BNJ Oxenford
419,2014,Mumbai,10-05-2014,MI,CSK,CSK,field,normal,0,CSK,0,4,DR Smith,Wankhede Stadium,HDPK Dharmasena,VA Kulkarni
420,2014,Cuttack,11-05-2014,KXIP,KKR,KKR,field,normal,0,KKR,0,9,G Gambhir,Barabati Stadium,NJ Llong,CK Nandan
421,2014,Bangalore,11-05-2014,RCB,RR,RCB,bat,normal,0,RR,0,5,JP Faulkner,M Chinnaswamy Stadium,S Ravi,RJ Tucker
422,2014,Hyderabad,12-05-2014,SRH,MI,SRH,bat,normal,0,MI,0,7,AT Rayudu,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena,VA Kulkarni
423,2014,Ranchi,13-05-2014,RR,CSK,RR,bat,normal,0,CSK,0,5,RA Jadeja,JSCA International Stadium Complex,BNJ Oxenford,C Shamshuddin
424,2014,Bangalore,13-05-2014,RCB,DD,DD,field,normal,0,RCB,16,0,Yuvraj Singh,M Chinnaswamy Stadium,K Srinath,RJ Tucker
425,2014,Hyderabad,14-05-2014,SRH,KXIP,KXIP,field,normal,0,KXIP,0,6,WP Saha,"Rajiv Gandhi International Stadium, Uppal",VA Kulkarni,PG Pathak
426,2014,Cuttack,14-05-2014,MI,KKR,KKR,field,normal,0,KKR,0,6,RV Uthappa,Barabati Stadium,AK Chaudhary,NJ Llong
427,2014,Ahmedabad,15-05-2014,RR,DD,DD,field,normal,0,RR,62,0,AM Rahane,"Sardar Patel Stadium, Motera",S Ravi,RJ Tucker
428,2014,Ranchi,18-05-2014,CSK,RCB,CSK,bat,normal,0,RCB,0,5,AB de Villiers,JSCA International Stadium Complex,BNJ Oxenford,C Shamshuddin
429,2014,Hyderabad,18-05-2014,SRH,KKR,SRH,bat,normal,0,KKR,0,7,UT Yadav,"Rajiv Gandhi International Stadium, Uppal",NJ Llong,CK Nandan
430,2014,Ahmedabad,19-05-2014,MI,RR,MI,bat,normal,0,MI,25,0,MEK Hussey,"Sardar Patel Stadium, Motera",S Ravi,RJ Tucker
431,2014,Delhi,19-05-2014,DD,KXIP,KXIP,field,normal,0,KXIP,0,4,AR Patel,Feroz Shah Kotla,HDPK Dharmasena,PG Pathak
432,2014,Hyderabad,20-05-2014,RCB,SRH,RCB,bat,normal,0,SRH,0,7,DA Warner,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,NJ Llong
433,2014,Kolkata,20-05-2014,CSK,KKR,KKR,field,normal,0,KKR,0,8,RV Uthappa,Eden Gardens,RM Deshpande,C Shamshuddin
434,2014,Chandigarh,21-05-2014,KXIP,MI,MI,field,normal,0,MI,0,7,LMP Simmons,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,VA Kulkarni
435,2014,Kolkata,22-05-2014,KKR,RCB,RCB,field,normal,0,KKR,30,0,RV Uthappa,Eden Gardens,AK Chaudhary,CK Nandan
436,2014,Ranchi,22-05-2014,CSK,SRH,SRH,field,normal,0,SRH,0,6,DA Warner,JSCA International Stadium Complex,BNJ Oxenford,C Shamshuddin
437,2014,Mumbai,23-05-2014,MI,DD,DD,field,normal,0,MI,15,0,MEK Hussey,Wankhede Stadium,S Ravi,RJ Tucker
438,2014,Chandigarh,23-05-2014,KXIP,RR,RR,field,normal,0,KXIP,16,0,SE Marsh,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,PG Pathak
439,2014,Bangalore,24-05-2014,RCB,CSK,CSK,field,normal,0,CSK,0,8,MS Dhoni,M Chinnaswamy Stadium,AK Chaudhary,NJ Llong
440,2014,Kolkata,24-05-2014,SRH,KKR,KKR,field,normal,0,KKR,0,4,YK Pathan,Eden Gardens,RM Deshpande,BNJ Oxenford
441,2014,Chandigarh,25-05-2014,DD,KXIP,KXIP,field,normal,0,KXIP,0,7,M Vohra,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,VA Kulkarni
442,2014,Mumbai,25-05-2014,RR,MI,MI,field,normal,0,MI,0,5,CJ Anderson,Wankhede Stadium,K Srinath,RJ Tucker
443,2014,Kolkata,27-05-2014,KKR,KXIP,KXIP,field,normal,0,KKR,28,0,UT Yadav,Eden Gardens,NJ Llong,S Ravi
444,2014,Mumbai,28-05-2014,MI,CSK,CSK,field,normal,0,CSK,0,7,SK Raina,Brabourne Stadium,VA Kulkarni,BNJ Oxenford
445,2014,Mumbai,30-05-2014,KXIP,CSK,CSK,field,normal,0,KXIP,24,0,V Sehwag,Wankhede Stadium,HDPK Dharmasena,RJ Tucker
446,2014,Bangalore,01-06-2014,KXIP,KKR,KKR,field,normal,0,KKR,0,3,MK Pandey,M Chinnaswamy Stadium,HDPK Dharmasena,BNJ Oxenford
447,2015,Kolkata,08-04-2015,MI,KKR,KKR,field,normal,0,KKR,0,7,M Morkel,Eden Gardens,S Ravi,C Shamshuddin
448,2015,Chennai,09-04-2015,CSK,DD,DD,field,normal,0,CSK,1,0,A Nehra,"MA Chidambaram Stadium, Chepauk",RK Illingworth,VA Kulkarni
449,2015,Pune,10-04-2015,RR,KXIP,KXIP,field,normal,0,RR,26,0,JP Faulkner,Maharashtra Cricket Association Stadium,SD Fry,CB Gaffaney
450,2015,Chennai,11-04-2015,CSK,SRH,CSK,bat,normal,0,CSK,45,0,BB McCullum,"MA Chidambaram Stadium, Chepauk",RK Illingworth,VA Kulkarni
451,2015,Kolkata,11-04-2015,KKR,RCB,RCB,field,normal,0,RCB,0,3,CH Gayle,Eden Gardens,S Ravi,C Shamshuddin
452,2015,Delhi,12-04-2015,DD,RR,RR,field,normal,0,RR,0,3,DJ Hooda,Feroz Shah Kotla,SD Fry,CB Gaffaney
453,2015,Mumbai,12-04-2015,KXIP,MI,MI,field,normal,0,KXIP,18,0,GJ Bailey,Wankhede Stadium,AK Chaudhary,K Srinivasan
454,2015,Bangalore,13-04-2015,RCB,SRH,SRH,field,normal,0,SRH,0,8,DA Warner,M Chinnaswamy Stadium,RM Deshpande,RK Illingworth
455,2015,Ahmedabad,14-04-2015,MI,RR,MI,bat,normal,0,RR,0,7,SPD Smith,"Sardar Patel Stadium, Motera",AK Chaudhary,SD Fry
456,2015,Kolkata,30-04-2015,CSK,KKR,KKR,field,normal,0,KKR,0,7,AD Russell,Eden Gardens,AK Chaudhary,M Erasmus
457,2015,Pune,15-04-2015,KXIP,DD,KXIP,bat,normal,0,DD,0,5,MA Agarwal,Maharashtra Cricket Association Stadium,CB Gaffaney,K Srinath
458,2015,Visakhapatnam,16-04-2015,SRH,RR,RR,field,normal,0,RR,0,6,AM Rahane,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,PG Pathak,S Ravi
459,2015,Mumbai,17-04-2015,MI,CSK,MI,bat,normal,0,CSK,0,6,A Nehra,Wankhede Stadium,AK Chaudhary,M Erasmus
460,2015,Visakhapatnam,18-04-2015,DD,SRH,DD,bat,normal,0,DD,4,0,JP Duminy,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,PG Pathak,S Ravi
461,2015,Pune,18-04-2015,KXIP,KKR,KKR,field,normal,0,KKR,0,4,AD Russell,Maharashtra Cricket Association Stadium,SD Fry,CK Nandan
462,2015,Ahmedabad,19-04-2015,CSK,RR,CSK,bat,normal,0,RR,0,8,AM Rahane,"Sardar Patel Stadium, Motera",AK Chaudhary,M Erasmus
463,2015,Bangalore,19-04-2015,MI,RCB,RCB,field,normal,0,MI,18,0,Harbhajan Singh,M Chinnaswamy Stadium,RK Illingworth,VA Kulkarni
464,2015,Delhi,20-04-2015,DD,KKR,KKR,field,normal,0,KKR,0,6,UT Yadav,Feroz Shah Kotla,SD Fry,CB Gaffaney
465,2015,Ahmedabad,21-04-2015,RR,KXIP,KXIP,field,tie,0,KXIP,0,0,SE Marsh,"Sardar Patel Stadium, Motera",M Erasmus,S Ravi
466,2015,Visakhapatnam,22-04-2015,SRH,KKR,KKR,field,normal,1,SRH,16,0,DA Warner,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,RK Illingworth,VA Kulkarni
467,2015,Bangalore,22-04-2015,CSK,RCB,RCB,field,normal,0,CSK,27,0,SK Raina,M Chinnaswamy Stadium,JD Cloete,C Shamshuddin
468,2015,Delhi,23-04-2015,DD,MI,MI,field,normal,0,DD,37,0,SS Iyer,Feroz Shah Kotla,SD Fry,CK Nandan
469,2015,Ahmedabad,24-04-2015,RR,RCB,RCB,field,normal,0,RCB,0,9,MA Starc,"Sardar Patel Stadium, Motera",M Erasmus,S Ravi
470,2015,Mumbai,25-04-2015,MI,SRH,MI,bat,normal,0,MI,20,0,SL Malinga,Wankhede Stadium,HDPK Dharmasena,CB Gaffaney
471,2015,Chennai,25-04-2015,CSK,KXIP,CSK,bat,normal,0,CSK,97,0,BB McCullum,"MA Chidambaram Stadium, Chepauk",JD Cloete,C Shamshuddin
472,2015,Delhi,26-04-2015,DD,RCB,RCB,field,normal,0,RCB,0,10,VR Aaron,Feroz Shah Kotla,M Erasmus,S Ravi
473,2015,Chandigarh,27-04-2015,SRH,KXIP,KXIP,field,normal,0,SRH,20,0,TA Boult,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,CB Gaffaney
474,2015,Kolkata,07-05-2015,KKR,DD,KKR,bat,normal,0,KKR,13,0,PP Chawla,Eden Gardens,AK Chaudhary,M Erasmus
475,2015,Bangalore,29-04-2015,RCB,RR,RR,field,no result,0,,0,0,,M Chinnaswamy Stadium,JD Cloete,PG Pathak
476,2015,Chennai,28-04-2015,CSK,KKR,KKR,field,normal,0,CSK,2,0,DJ Bravo,"MA Chidambaram Stadium, Chepauk",RM Deshpande,VA Kulkarni
477,2015,Delhi,01-05-2015,KXIP,DD,DD,field,normal,0,DD,0,9,NM Coulter-Nile,Feroz Shah Kotla,RK Illingworth,S Ravi
478,2015,Mumbai,01-05-2015,MI,RR,RR,field,normal,0,MI,8,0,AT Rayudu,Wankhede Stadium,HDPK Dharmasena,CK Nandan
479,2015,Bangalore,02-05-2015,KKR,RCB,RCB,field,normal,0,RCB,0,7,Mandeep Singh,M Chinnaswamy Stadium,JD Cloete,PG Pathak
480,2015,Hyderabad,02-05-2015,SRH,CSK,CSK,field,normal,0,SRH,22,0,DA Warner,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,K Srinivasan
481,2015,Chandigarh,03-05-2015,MI,KXIP,MI,bat,normal,0,MI,23,0,LMP Simmons,"Punjab Cricket Association Stadium, Mohali",RK Illingworth,VA Kulkarni
482,2015,Mumbai,03-05-2015,RR,DD,DD,field,normal,0,RR,14,0,AM Rahane,Brabourne Stadium,HDPK Dharmasena,CB Gaffaney
483,2015,Chennai,04-05-2015,CSK,RCB,CSK,bat,normal,0,CSK,24,0,SK Raina,"MA Chidambaram Stadium, Chepauk",C Shamshuddin,K Srinath
484,2015,Kolkata,04-05-2015,KKR,SRH,SRH,field,normal,0,KKR,35,0,UT Yadav,Eden Gardens,AK Chaudhary,M Erasmus
485,2015,Mumbai,05-05-2015,DD,MI,DD,bat,normal,0,MI,0,5,Harbhajan Singh,Wankhede Stadium,HDPK Dharmasena,CB Gaffaney
486,2015,Bangalore,06-05-2015,RCB,KXIP,KXIP,field,normal,0,RCB,138,0,CH Gayle,M Chinnaswamy Stadium,RK Illingworth,VA Kulkarni
487,2015,Mumbai,07-05-2015,SRH,RR,RR,field,normal,0,SRH,7,0,EJG Morgan,Brabourne Stadium,JD Cloete,C Shamshuddin
488,2015,Chennai,08-05-2015,CSK,MI,CSK,bat,normal,0,MI,0,6,HH Pandya,"MA Chidambaram Stadium, Chepauk",CB Gaffaney,CK Nandan
489,2015,Kolkata,09-05-2015,KXIP,KKR,KXIP,bat,normal,0,KKR,0,1,AD Russell,Eden Gardens,AK Chaudhary,HDPK Dharmasena
490,2015,Raipur,09-05-2015,SRH,DD,SRH,bat,normal,0,SRH,6,0,MC Henriques,Shaheed Veer Narayan Singh International Stadium,VA Kulkarni,S Ravi
491,2015,Mumbai,10-05-2015,RCB,MI,RCB,bat,normal,0,RCB,39,0,AB de Villiers,Wankhede Stadium,JD Cloete,C Shamshuddin
492,2015,Chennai,10-05-2015,CSK,RR,CSK,bat,normal,0,CSK,12,0,RA Jadeja,"MA Chidambaram Stadium, Chepauk",M Erasmus,CK Nandan
493,2015,Hyderabad,11-05-2015,SRH,KXIP,SRH,bat,normal,0,SRH,5,0,DA Warner,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,HDPK Dharmasena
494,2015,Raipur,12-05-2015,CSK,DD,CSK,bat,normal,0,DD,0,6,Z Khan,Shaheed Veer Narayan Singh International Stadium,RK Illingworth,VA Kulkarni
495,2015,Chandigarh,13-05-2015,KXIP,RCB,RCB,field,normal,0,KXIP,22,0,AR Patel,"Punjab Cricket Association Stadium, Mohali",JD Cloete,C Shamshuddin
496,2015,Mumbai,14-05-2015,MI,KKR,KKR,field,normal,0,MI,5,0,HH Pandya,Wankhede Stadium,RK Illingworth,VA Kulkarni
